iter	Passed	Remaining
1573	251297	68013
1574	251475	67858
1575	251635	67698
1576	251796	67539
1577	251964	67382
1578	252139	67226
1579	252319	67072
1580	252476	66911
1581	252659	66758
1582	252821	66599
1583	252978	66438
1584	253181	66290
1585	253360	66135
1586	253533	65979
1587	253708	65823
1588	253882	65667
1589	254043	65508
1590	254235	65356
1591	254411	65201
1592	254638	65058
1593	254862	64914
1594	254999	64749
1595	255160	64589
1596	255322	64430
1597	255579	64294
1598	255817	64154
1599	255976	63994
1600	256130	63832
1601	256309	63677
1602	256546	63536
1603	256794	63398
1604	256946	63235
1605	257094	63073
1606	257265	62915
1607	257489	62771
1608	257742	62633
1609	257933	62480
1610	258108	62324
1611	258285	62167
1612	258448	62008
1613	258603	61846
1614	258755	61684
1615	258975	61538
1616	259283	61413
1617	259459	61256
1618	259603	61092
1619	259759	60931
1620	259914	60769
1621	260073	60609
1622	260242	60450
1623	260474	60306
1624	260697	60160
1625	260961	60024
1626	261214	59885
1627	261473	59746
1628	261739	59610
1629	261945	59459
1630	262100	59298
1631	262262	59137
1632	262418	58975
1633	262553	58809
1634	262704	58646
1635	262845	58481
1636	263072	58335
1637	263366	58204
1638	263516	58041
1639	263703	57886
1640	263838	57719
1641	264084	57577
1642	264358	57441
1643	264525	57281
1644	264685	57120
1645	264832	56956
1646	264985	56794
1647	265138	56631
1648	265307	56472
1649	265503	56318
1650	265768	56180
1651	265951	56023
1652	266108	55861
1653	266269	55700
1654	266445	55543
1655	266676	55396
1656	266911	55250
1657	267064	55088
1658	267221	54926
